t,slice_label,slice_value,n_pts,V_mae,V_max,P_mae,P_max
10.0,y,0,10549,8.020142555236816,14.01205825805664,2.773746967315674,9.718090057373047
10.0,y,100,1172,10.913802146911621,15.13725757598877,4.750670909881592,22.72966766357422
10.0,y,200,18592,18.758272171020508,29.370262145996094,67.447998046875,240.15541076660156
10.0,y,250,3735,13.397333145141602,22.337987899780273,18.771480560302734,169.64971923828125
10.0,y,300,3328,12.781271934509277,15.945924758911133,8.796622276306152,72.02479553222656
10.0,y,400,2830,11.261701583862305,14.374027252197266,2.273801803588867,6.944239139556885
10.0,y,500,2311,8.287360191345215,13.15748119354248,2.00946307182312,4.271036624908447
10.0,y,600,1804,6.47860860824585,12.042709350585938,2.0438499450683594,2.895009994506836
10.0,y,700,10650,6.331185340881348,12.519832611083984,1.996285080909729,2.6308648586273193
30.0,y,0,10549,8.024937629699707,14.014205932617188,2.550337314605713,7.002284049987793
30.0,y,100,1172,10.922195434570312,15.121831893920898,6.395859241485596,19.401199340820312
30.0,y,200,18592,19.207612991333008,28.94761848449707,65.12771606445312,235.14007568359375
30.0,y,250,3735,12.731887817382812,20.5291805267334,13.213357925415039,91.06484985351562
30.0,y,300,3328,12.72428035736084,17.448272705078125,7.551510334014893,77.53390502929688
30.0,y,400,2830,10.797557830810547,15.044830322265625,6.69052267074585,45.31691360473633
30.0,y,500,2311,7.935856819152832,10.97254753112793,2.0187838077545166,7.301943302154541
30.0,y,600,1804,6.459123611450195,11.08431339263916,2.0289864540100098,4.940186500549316
30.0,y,700,10650,6.331059455871582,11.982332229614258,1.9498250484466553,5.305863857269287
58.0,y,0,10549,8.030364036560059,14.016048431396484,2.027089834213257,7.871376991271973
58.0,y,100,1172,10.93331527709961,15.122493743896484,5.124444961547852,21.879056930541992
58.0,y,200,18592,18.42755126953125,28.832653045654297,55.72855758666992,191.31748962402344
58.0,y,250,3735,12.579849243164062,20.421466827392578,11.114989280700684,88.75225830078125
58.0,y,300,3328,12.454174041748047,16.88861083984375,5.776801586151123,89.828857421875
58.0,y,400,2830,11.195494651794434,14.552057266235352,4.094239234924316,32.95988464355469
58.0,y,500,2311,7.809700965881348,11.08211898803711,1.4437928199768066,10.491920471191406
58.0,y,600,1804,6.2813310623168945,9.02258586883545,1.8666800260543823,8.595087051391602
58.0,y,700,10650,6.292725086212158,8.275766372680664,1.896653652191162,5.121377468109131
100.0,y,0,10549,8.032368659973145,14.013924598693848,2.086944580078125,7.035832405090332
100.0,y,100,1172,10.955329895019531,15.11513900756836,5.008355140686035,21.90496826171875
100.0,y,200,18592,17.83633041381836,28.528005599975586,56.43033218383789,212.4897003173828
100.0,y,250,3735,12.37648868560791,19.385398864746094,11.161849021911621,68.62043762207031
100.0,y,300,3328,12.446974754333496,18.11957550048828,12.301309585571289,95.7286376953125
100.0,y,400,2830,11.106534004211426,14.616191864013672,4.619743824005127,83.56394958496094
100.0,y,500,2311,8.291275978088379,12.147896766662598,1.5503400564193726,17.76741600036621
100.0,y,600,1804,6.390493869781494,9.885591506958008,1.77364182472229,13.091329574584961
100.0,y,700,10650,6.351880073547363,11.13044548034668,1.7355992794036865,5.240023612976074
